id,SalePrice
2658,130408.49185086401
2718,162040.3671930867
2414,227504.36962095211
1989,108961.62970650842
625,190428.16288362886
333,84966.96910722488
1327,98874.90148221224
858,162930.55016227174
95,180968.66063375332
1568,158355.53415875655
2482,145959.1681496296
1364,118161.21021803565
2584,148252.2571891378
818,278621.1978204157
2673,142571.81211217315
2089,126770.43617396461
1297,176294.29033445203
790,122583.19062021971
2616,185787.18296307995
720,191199.6731186394
222,168090.01666065288
557,134863.68567411273
1148,182111.7326096888
2766,164532.0000318548
534,187249.3574930511
1452,123706.4823886069
630,136363.25949780943
2648,128312.90648318247
125,169424.77364630092
1904,46512.08314274505
1670,99782.47271913537
756,99640.77046441993
717,188376.51415056325
1032,150341.74187185286
852,229368.2551072343
1731,184394.32837064244
2639,106132.7375229306
2071,73382.06077265079
1267,137051.77072007305
1851,206373.3449152961
567,182473.39536625685
2439,205578.86947514032
1898,149483.63744358995
647,164773.74155913026
2256,210281.2767986192
979,93472.51866605201
1444,227517.4396607118
2485,123158.89554653855
157,136355.8180514043
88,119086.47706969126
2003,91689.31650882823
186,202953.94851669145
1425,245970.97103886117
2695,123664.2962382941
738,96650.92984728173
395,156941.78121046015
1353,168106.61271518221
1878,144940.71764825413
390,153127.02010076583
1456,228907.54756931975
1103,314296.4233922716
1387,138460.29345067492
2070,158247.87982811575
1199,149591.7604552043
2479,179286.70792990536
501,333732.34177330375
2362,72821.34043773213
1718,228781.7545069772
2188,71947.96304902888
1483,158657.09479414095
2557,99200.34250522876
437,345167.50151417963
2224,200913.12512318004
1628,181416.69341330137
397,143769.99779680453
587,204264.49571343913
971,131760.1552503242
2611,134168.82206648262
1887,86594.68127160631
2399,360014.7650509746
2148,210449.38477237168
304,134589.95367424982
1997,134166.47663213554
2817,123374.9909414664
1431,229137.0076535213
427,358582.59821208415
263,129032.26108441313
598,182349.41239496763
2895,236950.57638977474
687,132425.12397418907
1822,132179.90164064817
2191,102329.33665558835
179,109236.80426979822
1009,248007.35704226556
2010,122954.75448441225
1991,129680.22976703232
1411,212654.35736124936
1721,237584.28523517505
1144,196943.09758062547
593,212812.22358800808
575,302817.1223017451
1249,169055.82896587678
1604,127159.97341596712
1064,396035.40214824665
1923,147459.5298753443
1988,104140.23687957067
2325,171944.79680570855
114,194534.74528426293
2700,176267.93989368933
217,118421.96518408827
343,192906.39423233998
386,228527.18116961844
2005,87017.64181311117
2908,127852.047868134
1814,235069.54039889408
2446,443688.39468543726
208,152997.88626476482
1679,101965.2028558101
822,304959.1305111157
6,190762.9187313253
1781,370912.9138627297
2397,323256.75673017907
2340,315659.36721185455
1618,163362.69081986588
2843,162706.2186083015
1061,355434.95054135646
2786,126930.2537982382
1935,129862.98925696341
1341,132889.46842712222
521,264810.57429870305
2136,140135.60097320972
996,198298.90656534673
227,131477.20502162343
135,169804.74938304364
1167,156337.9132539307
294,225597.06566890457
1776,218714.25144918112
540,183697.24358843162
1717,241512.3423870744
2303,128476.0042111802
116,191869.86602178693
127,151894.5561840295
1371,124819.2153030934
1014,161309.46011073448
1507,88658.43281659838
702,135812.60692136444
750,144411.77192956157
261,144639.0512964962
1559,65678.83265554588
577,221043.8322331736
